,pass_count,prev_ball_zone,zone_get_possesion,bet_cen_A,bet_cen_B,entropy_A,entropy_B,pA_z1,pA_z2,pA_z3,pA_z4,pA_z5,pA_z6,pA_z7,pA_z8,pA_z9,pA_z10,pA_z11,pA_z12,pB_z1,pB_z2,pB_z3,pB_z4,pB_z5,pB_z6,pB_z7,pB_z8,pB_z9,pB_z10,pB_z11,pB_z12,tA_ball_poss,tB_ball_poss,danger_zone,AZ1,AZ2,AZ3,AZ4,AZ5,AZ6,AZ7,AZ8,AZ9,AZ10,AZ11,AZ12,BZ1,BZ2,BZ3,BZ4,BZ5,BZ6,BZ7,BZ8,BZ9,BZ10,BZ11,BZ12
0,0,5.0,5.0,0.09898989898989896,0.08484848484848485,1.9785823505682558,2.0663396472422715,1,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,83.3134052523475,17.213757541565943,7.938515390430752,25.582832135107722,9.8099531147319,14.522545695766501,6.912167556872657,0.0,0.0,9.79701427420239,0.0,0.0,20.90541215775747,14.663561090095435,0.0,20.114884182816173,0.0,4.996513488300226,0.0,0.0
1,0,6.0,6.0,0.08282828282828282,0.07676767676767676,1.6080313013407441,1.6976190639286237,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.11355311355311355,0.8864468864468864,0,0.0,0.0,0.0,0.0,36.37741456833788,84.99430093166328,0.0,28.61387853927201,58.35789423865366,0.0,7.597551544729577,0.0,0.0,4.971539357027735,8.321063590529342,0.0,7.675453166728956,27.934735504043147,0.0,10.54931751680243,31.179865707174812,6.139758702462034,0.0,0.0
2,1,9.0,6.0,0.08484848484848485,0.08282828282828282,2.0040902384605084,2.1094713311899005,1,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0.3405994550408719,0.659400544959128,0,0.0,0.0,0.0,0.0,34.25109524016031,66.38126533312216,0.0,32.705069722931974,77.19566601077513,0.0,7.772109649196596,0.0,0.0,4.650944830685247,0.0,0.0,17.942471711595662,29.828623151875703,0.0,11.046058161020468,33.66352146467883,7.54753284243729,0.0,0.0
3,2,8.0,6.0,0.08888888888888889,0.08282828282828282,1.99934781538838,2.0692984588898002,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0.3697916666666667,0.6302083333333334,0,0.0,0.0,0.0,0.0,34.96471955300207,81.13409782463607,0.0,33.486079394184024,60.87278845235187,0.0,7.997363630970756,0.0,0.0,4.6837717330096895,0.0,0.0,18.11606191576582,30.15141824998859,0.0,11.031935386022443,34.01564380500108,7.60558524581248,0.0,0.0
4,3,5.0,6.0,0.10707070707070708,0.07070707070707072,1.8484037277770542,2.187458231413551,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0.4646017699115044,0.5353982300884956,0,0.0,0.0,0.0,0.0,23.000750784672938,82.78831512605646,18.961664023324232,18.979506173449035,60.87045218393657,15.186183652973394,8.182804496906995,0.0,0.0,4.834325188798827,0.0,0.0,30.607886618816117,32.86773163850508,0.0,37.683406305576824,0.0,7.357799119077208,0.0,0.0
5,4,10.0,6.0,0.09090909090909091,0.08484848484848485,2.0130975865638288,2.0556505676888737,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0.5518518518518518,0.44814814814814813,0,0.0,0.0,0.0,0.0,116.93588508333477,19.918543820207425,20.92568476146233,38.719151975714915,17.848378540683807,18.547985219502824,8.691101735161977,0.0,0.0,4.490531119529516,0.0,0.0,60.134122392110214,12.36418342907436,0.0,25.740311052654768,0.0,18.290612718151266,0.0,0.0
6,4,7.0,6.0,0.098989898989899,0.10707070707070708,1.9931068141838324,1.8631811864465548,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0.5870307167235495,0.4129692832764505,0,0.0,0.0,0.0,0.0,91.50497599529324,19.349429749281267,21.57530544841517,37.87790346558454,16.939256340611568,44.10134095269472,8.252317923789596,0.0,0.0,4.341667912669079,0.0,0.0,47.86555275018295,12.239516017760222,13.446781586566942,12.711860615776871,0.0,30.3876542309098,0.0,0.0
7,5,10.0,6.0,0.0606060606060606,0.12323232323232326,1.8490394898206715,1.4053019614474884,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0.6327769347496206,0.36722306525037934,0,0.0,0.0,0.0,0.0,49.5912163214599,18.310266921236465,0.0,37.075286732533456,15.41386997591897,105.81362601038411,8.491043745259045,0.0,0.0,3.993212921761201,0.0,0.0,35.981820553019425,11.550194007512287,12.876881780324876,0.0,0.0,56.48163945026312,0.0,0.0
8,7,7.0,7.0,0.07878787878787878,0.08686868686868687,1.6521061364685403,1.5360091243978227,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0.7812781278127813,0.21872187218721872,0,0.0,0.0,0.0,0.0,43.901996568922215,14.019834967177134,74.88472298868388,13.756552245675033,11.733438607248571,18.496132043978054,6.974260789212725,0.0,0.0,4.094877292017714,0.0,0.0,24.6165297409486,8.957295432584155,19.248569452576945,21.81005995706839,0.0,21.84433122030992,0.0,0.0
9,8,8.0,7.0,0.0808080808080808,0.0808080808080808,2.113012025211806,2.0954988180452863,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0.8021172638436482,0.1978827361563518,0,0.0,0.0,0.0,0.0,42.765225939971,13.854414669040143,51.86946044437477,36.052305114448146,11.24912327781407,17.79829711521842,6.788709956364736,0.0,0.0,3.9541986356099716,0.0,0.0,35.86891137497892,8.592649102677447,0.0,20.28596445747917,11.710604954688593,17.460552257312187,0.0,0.0
