,pass_count,prev_ball_zone,zone_get_possesion,bet_cen_A,bet_cen_B,entropy_A,entropy_B,pA_z1,pA_z2,pA_z3,pA_z4,pA_z5,pA_z6,pA_z7,pA_z8,pA_z9,pA_z10,pA_z11,pA_z12,pB_z1,pB_z2,pB_z3,pB_z4,pB_z5,pB_z6,pB_z7,pB_z8,pB_z9,pB_z10,pB_z11,pB_z12,tA_ball_poss,tB_ball_poss,danger_zone,AZ1,AZ2,AZ3,AZ4,AZ5,AZ6,AZ7,AZ8,AZ9,AZ10,AZ11,AZ12,BZ1,BZ2,BZ3,BZ4,BZ5,BZ6,BZ7,BZ8,BZ9,BZ10,BZ11,BZ12
0,2,5.0,5.0,0.08888888888888889,0.08282828282828282,2.008323065099735,2.0550308108870152,0,1,0,0,2,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0.0,1.7499414444449661,0.0,0.0,56.82959394416807,6.716005668665336,0.0,29.72843089486328,0.0,11.800823079213396,0.0,0.0,0.0,0.0,0.0,0.0,7.344138602712022,0.0,0.0,30.215393195868074,9.786845023839783,8.575710941650073,1.246073293385529,0.0
1,5,6.0,5.0,0.08282828282828283,0.06262626262626261,1.3328532672542923,1.3466311214401894,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0.0,4.957145668374678,0.0,0.0,22.6462097663577,26.417412340448337,15.556962660816241,26.985703911013587,38.11735525653562,10.665210579118371,0.0,0.0,0.0,0.0,0.0,0.0,9.856786524049257,19.618430676172444,3.4786760441520244,13.864907515424388,24.092887936158856,0.0,1.1788095475703972,0.0
2,5,5.0,5.0,0.09090909090909091,0.06868686868686869,1.487694136338767,1.72648832107706,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0.0,6.588159423726928,0.0,0.0,29.29048810082693,0.0,26.830456005678773,44.39808141392733,27.483739252307736,18.126254488865424,0.0,0.0,0.0,0.0,0.0,0.0,9.325715832065994,0.0,10.732414066073993,28.772716030385002,17.060923820010544,12.890024176732403,1.2892571978684009,0.0
3,5,10.0,5.0,0.0101010101010101,0.028282828282828285,0.5898509895318687,0.613984398126592,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0.0,6.687483431899545,0.0,0.0,29.253479765420153,0.0,27.24362020433402,43.17956969876712,27.764751897403727,19.086023385685685,0.0,0.0,0.0,0.0,0.0,0.0,9.128144689928382,0.0,10.762985534820602,28.294711572308152,16.494694639156588,12.793437952824037,1.2273757177047864,0.0
4,6,5.0,5.0,0.08888888888888888,0.07676767676767678,1.9957450757721014,2.124288695281951,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0.0,6.77219244975993,0.0,0.0,13.822858558990534,0.0,41.59384159288417,44.87856860184131,28.76040840886819,18.402572846332834,0.0,0.0,0.0,0.0,0.0,0.0,21.7496240170997,0.0,11.183793889761521,27.014871256268055,16.16174268689872,0.0,1.1195634056292616,0.0
5,6,6.0,5.0,0.08686868686868686,0.06666666666666667,1.6872069527456064,1.7961516881330626,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0.0,6.920567531305091,0.0,0.0,17.10351227265621,14.834416056391234,27.58848096826246,58.660873434923325,29.352366117363836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.968702362181512,0.0,5.432422169867789,30.52447245883655,16.350242713474913,0.0,13.58352965724849,0.0
6,6,9.0,5.0,0.08686868686868686,0.07676767676767676,1.6872069527456064,1.691613436990145,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0.0,6.894534667830238,0.0,0.0,17.257584329490932,14.89237515260087,27.579473403496493,58.7013657837483,29.385680203419227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.972396414546768,0.0,5.42326883576204,30.533105426509792,16.367434980598638,0.0,13.576933189151049,0.0
7,9,8.0,8.0,0.06262626262626261,0.07474747474747476,1.3466311214401896,1.7042220116113056,1,0,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,2,1,0,1,0,0.987906976744186,0.012093023255813953,0,0.0,6.349357211475001,0.0,0.0,16.813878023723003,14.234079151284105,13.571255915217654,78.15402124699733,13.13696781936095,0.0,16.87126889485183,0.0,0.0,0.0,0.0,0.0,12.661768774342995,0.0,5.963749333053203,38.97503034902713,7.733530770914543,0.0,7.817230322741716,8.24834555256993
8,10,11.0,8.0,0.10505050505050506,0.09090909090909091,1.879441343781776,1.9797582514881062,1,0,0,0,0,0,0,2,0,1,1,0,2,0,0,0,0,0,0,2,0,1,1,0,0.9507609668755596,0.049239033124440466,0,0.0,6.368463361634269,0.0,0.0,16.255121884612915,14.085479443391359,13.74930305488419,79.57596235502024,13.015632120495088,0.0,17.527827576948383,0.0,0.0,0.0,0.0,0.0,12.383974837250083,0.0,0.0,39.2922339101431,7.547775833391336,0.0,23.090660765063433,0.0
9,10,8.0,8.0,0.0707070707070707,0.06666666666666667,2.173873746302012,2.2097431615360263,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0.8779527559055118,0.1220472440944882,0,0.0,6.131812556113061,0.0,0.0,29.013197885117123,0.0,14.440298984270157,46.68767028181671,30.145071922963382,0.0,34.487219139172666,0.0,0.0,0.0,0.0,0.0,11.605298171667533,7.830216361518448,6.34683897543598,47.044406740676855,0.0,0.0,9.313410281143353,0.0
