,pass_count,prev_ball_zone,zone_get_possesion,bet_cen_A,bet_cen_B,entropy_A,entropy_B,pA_z1,pA_z2,pA_z3,pA_z4,pA_z5,pA_z6,pA_z7,pA_z8,pA_z9,pA_z10,pA_z11,pA_z12,pB_z1,pB_z2,pB_z3,pB_z4,pB_z5,pB_z6,pB_z7,pB_z8,pB_z9,pB_z10,pB_z11,pB_z12,tA_ball_poss,tB_ball_poss,danger_zone,AZ1,AZ2,AZ3,AZ4,AZ5,AZ6,AZ7,AZ8,AZ9,AZ10,AZ11,AZ12,BZ1,BZ2,BZ3,BZ4,BZ5,BZ6,BZ7,BZ8,BZ9,BZ10,BZ11,BZ12
0,2,5.0,5.0,0.07272727272727274,0.06666666666666667,2.1881171229338046,2.2211370581824115,0,1,0,0,2,0,0,1,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,5.652688821683059,5.919637250219538,5.933902374439373,18.0092866983317,3.379266629710405,0.0,0.384301962906909,0.0,0.0,0.3480712858949993,0.0,0.0,20.357407690426506,3.616720542635074,0.0,0.0,0.0,9.041012385517298,0.0,0.0
1,3,8.0,5.0,0.0606060606060606,0.06666666666666667,1.821514532136535,1.801316183537479,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,26.77826176112699,14.504594910979426,6.566430739773664,15.654702256575336,7.083366426557458,0.0,3.601704644257983,0.0,0.0,3.311857467841242,0.0,0.0,27.581204924283732,13.220182201835655,0.0,5.992225481806381,7.404464825586523,11.29517933790918,0.0,0.0
2,4,7.0,5.0,0.09494949494949495,0.098989898989899,1.957855290182846,1.981554068622313,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,19.786387551179114,13.260461886489535,5.717688681393445,23.87318494749246,3.5099528479014768,13.69635484505814,3.8669705089324156,0.0,0.0,4.441809069890659,0.0,0.0,18.518992640828067,14.009710041426558,10.631489943485537,23.623047467176352,0.0,9.038851819035488,0.0,0.0
3,4,8.0,5.0,0.08282828282828283,0.10101010101010101,2.0756577144586092,1.9224440410529307,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1.0,0,0,0.0,0.0,0.0,0.0,29.47830717270548,11.26351014304751,6.0738703784094445,15.54771195085777,3.813239445536501,12.815238820694486,3.81155864998152,0.0,0.0,4.3165214782830095,0.0,0.0,18.681988668022004,13.77402579620425,9.17225864955885,22.135220648075816,0.0,9.023397177110128,0.0,0.0
4,5,9.0,5.0,0.0808080808080808,0.0909090909090909,2.110890480076492,2.0068426829885095,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,1.0,0,0,0.0,10.38573780758777,0.0,0.0,10.662045007857328,23.877951592442134,6.802836988000768,13.108786103430102,11.298602720836309,12.577566434733049,4.1557369702371245,0.0,0.0,26.386324889851792,0.0,0.0,10.18382790190015,27.158457062728978,0.0,5.879872423846532,7.113619948368707,9.445663772586084,0.0,0.0
5,5,8.0,5.0,0.0808080808080808,0.0909090909090909,2.110890480076492,2.0068426829885095,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1.0,0,0,0.0,10.304790585858996,0.0,0.0,10.812778981496827,23.60237008539418,6.773699074070325,12.917230105485071,11.470696831140584,12.50076611102184,4.204752446175923,0.0,0.0,26.3069493005301,0.0,0.0,10.26676403039245,27.32832230838259,0.0,5.84707212314139,7.252788590635018,9.447225227917482,0.0,0.0
6,7,5.0,5.0,0.06868686868686869,0.044444444444444446,1.7266333378295793,1.595674953953177,1,0,0,0,2,0,1,1,0,0,0,0,2,0,0,0,2,0,1,1,0,0,0,0,0.7047756874095513,0.2952243125904486,0,0.0,0.0,0.0,0.0,34.09410114666817,10.219414445319618,8.487179768007696,28.332729350997866,7.739760737944921,12.374703638576312,3.3312590118360257,0.0,0.0,3.6441142117285,0.0,0.0,46.270486662281435,8.17415388641082,0.0,19.861753734403447,7.677868803418347,9.334143672702563,0.0,0.0
7,7,8.0,5.0,0.07676767676767676,0.098989898989899,2.153059363222346,1.8741868745383548,1,0,0,0,1,0,1,1,1,0,0,0,2,0,0,0,1,0,1,1,1,0,0,0,0.6572199730094467,0.3427800269905533,0,0.0,0.0,0.0,0.0,20.30997962352101,10.462067729130808,9.317387684315316,36.13593603298544,18.826825083790865,12.284931521897326,3.9269180714318184,0.0,0.0,3.696693269047241,0.0,0.0,34.13944507433778,21.68048500301041,9.823021760183162,10.640537616274438,20.667953291678554,0.0,0.0,0.0
8,7,9.0,5.0,0.0787878787878788,0.10101010101010101,2.138333405543902,1.8429567948331347,1,0,0,0,1,0,1,0,1,0,0,1,2,0,0,0,1,0,1,0,1,0,0,1,0.6382699868938401,0.3617300131061599,0,0.0,0.0,0.0,0.0,20.092883743003565,10.547192133684437,9.679478434309098,26.473287221997566,0.0,12.18063355669898,14.913942181534786,20.009963230246665,0.0,3.725347961170069,0.0,0.0,34.60319033318222,8.760891759157134,9.91355022167713,10.976581029859823,22.78823631036671,0.0,0.0,12.333255547723045
9,7,12.0,5.0,0.10505050505050506,0.08686868686868686,1.8662515035242129,2.045256980927663,1,0,0,0,1,0,1,0,1,0,0,1,2,0,0,0,1,0,1,0,1,0,0,1,0.5126315789473684,0.48736842105263156,0,0.0,0.0,0.0,0.0,9.02933064766093,0.0,0.0,21.254263536988496,11.345157979726762,0.0,26.339387242422944,52.873848636247054,0.0,3.8070198330925837,0.0,0.0,15.07642192533513,0.0,0.0,31.117275886215594,23.388748735077726,0.0,11.09976485650475,24.408410123408462
10,7,9.0,5.0,0.07474747474747476,0.07676767676767676,2.1541185466404653,2.1360314989170157,1,0,0,0,1,0,1,0,1,0,0,1,2,0,0,0,1,0,1,0,1,0,0,1,0.4302120141342756,0.5697879858657244,0,0.0,0.0,0.0,0.0,0.0,8.375072652499334,0.0,10.780231325910586,63.02757662503952,0.0,25.11334809394686,12.104352282778343,0.0,3.3643505690441913,0.0,0.0,6.826927240488196,7.1324545173907365,0.0,8.837200904814,54.0831880983776,0.0,23.659960754687418,0.0
11,8,12.0,12.0,0.08888888888888889,0.08080808080808081,2.066457632232222,2.1116375533798144,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,1,0,0,2,0.4514637904468413,0.5485362095531587,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9013157754838,29.32897835399893,0.0,23.944000462606468,50.42193626380373,0.0,3.167529565839239,0.0,0.0,6.280107241796484,6.599817291639717,0.0,8.502910386087134,17.287983903392757,0.0,22.223490595003845,37.040955946663146
12,8,9.0,9.0,0.07272727272727274,0.09494949494949495,2.135921060893043,2.004411903221317,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0.5099656357388316,0.49003436426116836,0,0.0,0.0,0.0,0.0,0.0,7.778818926096175,0.0,19.146780337841125,59.5833179542951,0.0,13.748681922765646,11.104760684370031,0.0,2.9265454412204277,0.0,0.0,0.0,12.808538878858549,0.0,8.182473155089943,55.31762379428525,0.0,9.242980555790787,11.959115681161732
13,10,12.0,9.0,0.09494949494949495,0.08484848484848485,1.997285276153145,1.6200465884068327,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0.5883371824480369,0.41166281755196305,0,0.0,0.0,0.0,0.0,20.164587380575714,19.42757109737868,9.56584448711857,12.383815159807996,23.250962876675096,0.0,8.954459139596949,14.736423654292121,0.0,3.0518840621251253,0.0,0.0,23.517984055875402,16.04184292267967,0.0,20.41772556445096,36.34410185249662,0.0,0.0,0.0
14,11,9.0,9.0,0.09090909090909091,0.12323232323232323,2.0107620631842513,1.764181105113297,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0.5962627406568517,0.40373725934314836,0,0.0,0.0,0.0,0.0,20.08834986977795,19.353406075469728,9.49669236773225,12.194936822011684,33.572263919305115,0.0,8.901508971821327,4.28169470508164,0.0,3.0648191298345244,0.0,0.0,23.386530131232913,16.06083871089659,0.0,33.619233908446596,22.753474073463316,0.0,0.0,0.0
15,10,8.0,9.0,0.09696969696969697,0.08686868686868689,1.9413139228892928,1.9270613022605807,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.6499754540991655,0.35002454590083454,0,0.0,0.0,0.0,0.0,20.343846579318164,20.855288876878316,9.24886801839751,11.643957621185777,10.116995922040953,29.912987423806044,4.524344600425771,0.0,0.0,3.0003427831422167,0.0,0.0,25.74954634391849,19.347822937230784,0.0,20.20486485955039,0.0,29.271808861648076,0.0,0.0
16,10,7.0,9.0,0.07676767676767676,0.0808080808080808,2.1081992932954217,2.07582923221908,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.6543868153174988,0.3456131846825012,0,0.0,0.0,0.0,0.0,31.33073487096042,20.739940218101367,9.24264048270445,11.533253869596008,10.032962759067997,18.86711471187947,4.577800612034232,0.0,0.0,2.9821866565615385,0.0,0.0,25.693981246614868,19.347545499862846,0.0,20.143048097727956,0.0,29.2857807740876,0.0,0.0
17,11,8.0,9.0,0.09696969696969697,0.09494949494949494,1.9652765470480877,1.8850768698147211,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0.6712770862148455,0.32872291378515445,0,0.0,0.0,0.0,0.0,30.915531012219567,20.30262127225446,0.0,20.427753747184674,9.668567818561053,18.48260066428484,4.620843258861666,0.0,0.0,3.119091457009517,0.0,0.0,35.40535904916159,18.947216182282013,0.0,19.679522793345686,0.0,19.038246447586786,0.0,0.0
18,11,9.0,9.0,0.0888888888888889,0.10909090909090913,1.975513941537033,1.9262694584731577,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0.7026688907422852,0.2973311092577148,0,0.0,0.0,10.238358362162762,0.0,19.78795171464494,29.994926559837445,0.0,8.883207853219035,21.565186292021817,8.802508533522705,4.504005730367927,0.0,0.0,16.9372968412204,8.510624086216875,0.0,9.76129392499067,40.96136209702501,0.0,0.0,9.068086187525875,10.466051923281912,0.0,0.0
19,12,6.0,9.0,0.08686868686868686,0.08080808080808081,1.5872841731554665,1.5885577016949326,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0.7057366900536525,0.29426330994634753,0,0.0,0.0,0.0,0.0,19.785260257576425,40.44170854088178,0.0,8.80613900859281,21.517529039586,8.786957652795282,4.46143028259885,0.0,0.0,16.836191172589736,0.0,0.0,9.792915829421231,49.58722669566677,0.0,0.0,9.110775115071451,10.399358649834513,0.0,0.0
20,10,5.0,9.0,0.05858585858585859,0.08484848484848485,1.8937655880520177,2.0552097583682127,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0.7194018103109012,0.2805981896890988,0,0.0,0.0,0.0,0.0,32.37903177438599,10.087844979638236,0.0,20.367965573082788,19.234623690810512,17.917724369224324,4.358050791331061,0.0,0.0,3.144684342936612,0.0,0.0,36.64012500046825,28.882913581769472,0.0,0.0,8.939481300249863,18.30448983305726,0.0,0.0
21,10,10.0,9.0,0.05858585858585859,0.09090909090909091,1.8937655880520177,2.010347655212769,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0.7209393346379648,0.2790606653620352,0,0.0,0.0,0.0,0.0,32.406590704976175,10.067417990462257,0.0,20.3321298184119,19.217967319199154,18.032157927466788,4.374919336204092,0.0,0.0,3.1615387885694837,0.0,0.0,36.75440670625139,28.83345122476478,0.0,8.923229284625195,0.0,18.39371063198476,0.0,0.0
22,10,7.0,9.0,0.05858585858585859,0.0909090909090909,1.8937655880520177,2.006417178861427,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.7215931276844982,0.27840687231550176,0,0.0,0.0,0.0,0.0,32.40659247385595,10.059504100898813,0.0,20.31769310968633,19.206437687577257,18.06586366267551,4.381284003575317,0.0,0.0,3.1611055381080146,0.0,0.0,36.806835086316624,28.815101167347468,0.0,8.91515548864566,0.0,18.433323689524734,0.0,0.0
23,11,8.0,9.0,0.08282828282828282,0.09292929292929292,2.0798452579714146,1.995294156864943,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0.7313489073097211,0.2686510926902788,0,0.0,0.0,0.0,0.0,10.319662172910968,22.23442176177906,0.0,20.169361787023348,18.8569916597698,28.006286637556386,4.336851869351419,0.0,0.0,9.483976408526003,0.0,0.0,41.94546325125937,17.580513877843615,0.0,8.811511050351005,0.0,18.61835334559774,0.0,0.0
24,12,5.0,9.0,0.08686868686868689,0.07676767676767676,2.001585278274046,2.146187583234189,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0.7389234712559501,0.2610765287440498,1,10.124354259976334,10.109042621743143,0.0,0.0,31.67391585962554,9.033209490659537,0.0,20.64214453004685,0.0,18.318954806492926,4.24106360978348,0.0,0.0,27.159594609010735,0.0,0.0,33.04967671578506,9.247741611457773,0.0,8.678756382015962,0.0,18.577322105955226,0.0,0.0
25,12,2.0,2.0,0.09898989898989898,0.0707070707070707,1.879669818843528,2.1549039621874613,1,2,0,0,1,0,0,0,0,0,0,1,2,3,0,0,1,0,0,0,0,0,0,1,0.7201115371209481,0.27988846287905195,0,9.63226588201858,32.829911966422266,0.0,0.0,29.91403066684539,8.999760288218836,0.0,9.256332261407085,0.0,9.019709026297798,4.098000026707711,0.0,0.0,58.28334187555206,0.0,0.0,19.217153242821446,9.457903723836061,0.0,0.0,0.0,10.231823023968218,0.0,0.0
26,12,5.0,2.0,0.09292929292929292,0.08282828282828282,1.9834475850023063,2.0925607379830216,1,1,0,0,1,1,0,0,0,0,0,1,3,1,0,0,1,1,0,0,0,0,0,1,0.7029601905410003,0.29703980945899966,0,9.73599632393965,20.19281249540954,0.0,0.0,33.75503711430093,8.91293840033433,0.0,17.937098867143163,0.0,9.0866508347753,4.090358554903048,0.0,0.0,19.483344368015622,0.0,0.0,39.50114772640901,9.553048823635718,0.0,10.779774997189413,8.58223824784691,10.1495252286249,0.0,0.0
27,11,6.0,2.0,0.10101010101010101,0.09494949494949495,1.5171565823590634,1.5719497672034328,1,1,0,0,1,1,0,0,0,0,1,0,3,1,0,0,1,1,0,0,0,0,1,0,0.630070143336383,0.36992985666361694,0,0.0,0.0,0.0,0.0,20.383529105098464,12.998824042901179,0.0,28.407832098921453,41.03304867094319,0.0,4.145394916151927,0.0,0.0,2.9716849299589265,0.0,0.0,16.38376773343179,28.575550237732216,10.050066878118157,10.883039719697404,32.1236697039551,0.0,0.0,0.0
28,11,5.0,2.0,0.11515151515151514,0.1191919191919192,1.8010678771236996,1.8130486755077087,1,2,0,0,1,0,0,0,0,0,1,0,2,3,0,0,1,0,0,0,0,0,1,0,0.6253026634382567,0.37469733656174337,0,0.0,0.0,0.0,0.0,20.382924951349608,12.884293935008493,9.738401896654953,18.728732347974162,41.03789493299677,0.0,4.1118534081570965,0.0,0.0,10.596003463186792,0.0,0.0,0.0,28.545966462799964,10.021466364291067,10.87859245196287,32.0764017216303,8.921900795938495,0.0,0.0
29,11,2.0,2.0,0.07878787878787878,0.098989898989899,2.064767812880724,1.9263912465297672,1,2,0,0,1,0,0,0,0,0,1,0,2,3,0,0,1,0,0,0,0,0,1,0,0.602683780630105,0.397316219369895,0,0.0,0.0,0.0,0.0,32.59242496610127,0.0,0.0,39.10566904228623,20.09762892398396,9.568415424617994,4.017372644712545,0.0,0.0,10.594821211726519,0.0,0.0,9.644703663194583,18.52067578203536,10.019794040486811,22.384661098520738,19.645695438289444,9.088768030785998,0.0,0.0
30,11,5.0,2.0,0.07272727272727274,0.098989898989899,2.167814399452174,1.9263912465297672,1,1,0,0,1,1,0,0,0,0,1,0,3,1,0,0,1,1,0,0,0,0,1,0,0.5988405797101449,0.4011594202898551,0,0.0,0.0,0.0,0.0,32.47752310279076,0.0,0.0,39.02186467362655,20.0734431808091,9.542541848173542,3.9744553312989224,0.0,0.0,10.530267250178074,0.0,0.0,0.0,18.612766168535657,10.034181903706168,31.813370999935877,19.58657764372203,9.135708333555908,0.0,0.0
31,10,6.0,6.0,0.13535353535353534,0.08686868686868686,1.7692767722269567,2.0675945228752552,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0.5758582502768549,0.42414174972314506,0,0.0,0.0,0.0,0.0,0.0,23.02971370265755,0.0,37.514901497323855,39.65022243262017,0.0,4.131179913228539,0.0,0.0,2.952597618781095,0.0,0.0,7.789385648004487,18.449653559686958,0.0,29.635323159669596,31.64593029479682,9.172445147413374,0.0,0.0
32,10,9.0,6.0,0.12525252525252525,0.10505050505050505,1.6939088688711104,1.814003862441105,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0.5948161861941286,0.4051838138058715,0,0.0,0.0,0.0,0.0,0.0,10.500266652486076,0.0,34.89532208723535,40.80496937233908,0.0,3.890187333133646,8.387048507492622,0.0,2.7775450948366505,0.0,0.0,16.612352376033936,9.616381825360586,0.0,27.377872440108042,39.21996101482897,0.0,0.0,0.0
